source,author,title,description,url,urlToImage,publishedAt,content
"{'id': None, 'name': 'BGR'}",staff@bgr.com (Elias Nash),"Bananas Might Be The Key To New, Sustainable Textiles","The textile and fashion industries are bad for the environment, but we might be able to reduce that negative impact by switching to banana cloth.",https://www.bgr.com/2209017/banana-fiber-applications-explained/,https://www.bgr.com/img/gallery/bananas-might-be-the-key-to-new-sustainable-textiles/l-intro-1783354390.jpg,2026-07-14 22:47:00+00:00,"A banana plant only fruits once in its lifetime, and after the bananas themselves are harvested, the bare pseudostem is uprooted to make room for a new crop. Each fully-grown pseudostem has between 2… [+1329 chars]"
"{'id': None, 'name': 'Entrepreneur'}",Volen Vulkov,"The More Efficient Hiring Becomes, the More Invisible Candidates Feel. Here’s the Problem Most Companies Are Missing.","Think an AI algorithms automatically reject resumes? The real reason candidates are going invisible in modern hiring is much worse, and it’s entirely within an employer's control to fix.",https://www.entrepreneur.com/building-a-business/the-more-efficient-hiring-becomes-the-more-invisible-candidates-feel-heres-the-problem-most-companies-are-missing,"https://www.entrepreneur.com/wp-content/uploads/sites/2/2026/07/more-efficient-hiring-more-invisible-candidates-ai-0726-g-2271512066.jpg?resize=1024,655",2026-07-18 18:00:00+00:00,"Opinions expressed by Entrepreneur contributors are their own.Key Takeaways
<ul><li>Most applicant tracking systems don’t automatically reject resumes based on content or formatting. The actual filt… [+6227 chars]"
"{'id': 'lenta', 'name': 'Lenta'}",Маргарита Миронова,В Россию везут индийский бензин. Чем он отличается от российского и как его оценивают эксперты?,"В Россию отправили не менее 60 тысяч тонн автомобильного бензина из Индии. Два танкера с первой партией топлива уже вышли в море, однако какой именно нефтеперерабатывающий завод (НПЗ) их отправил не уточняется",https://lenta.ru/news/2026/07/01/v-rossiyu-vezut-indiyskiy-benzin-chem-on-otlichaetsya-ot-rossiyskogo-i-kak-ego-otsenivayut-eksperty/,https://icdn.lenta.ru/images/2026/07/01/19/20260701190304623/share_ebdc1e96c8499edba613fd301c42e45b.jpg,2026-07-01 17:04:03+00:00,"60 . , () . , 400 , . 110 , . , . , , . , . 1,7 , . - , ., BS-VI ( -6). ( 10 ppm),    95 . Indian Oil Corporation Reliance Industries., .
, - , . , . , , , . , , , 
 , : , . . 2023 89 , . 172 2021 ."
"{'id': 'business-insider', 'name': 'Business Insider'}",Sarah E. Needleman,AI chatbots are coming for white-collar job interviews,Some companies are using chatbots to screen applicants — and not only for hourly roles. Employers say it lets them consider more candidates.,https://www.businessinsider.com/ai-bot-job-interview-white-collar-work-2026-7#article,https://i.insider.com/6a46b159e3bd3a50082bfc1a?width=1200&format=jpeg,2026-07-09 09:44:01+00:00,"Getty Images; Tyler Le/BI
<ul><li>Once used mainly for high-volume hiring, AI-led interviews are gaining traction in white-collar roles.</li><li>Employers embracing the strategy say it lets them con… [+7037 chars]"
"{'id': None, 'name': 'Techdirt'}","Joshua Kaplan, Justin Elliott, and Alex Mierjeski",An Indian Billionaire Was Targeted By Trump. Then He Poured Money Into A Startup Secretly Backed by Donald Trump Jr.,"This story was originally published by ProPublica. Republished under a CC BY-NC-ND 3.0 license. In late November in Jamnagar, India, the scions of two of the most powerful families in the world stood face-to-face. On one side was 30-year-old Anant Ambani, son…",http://www.techdirt.com/2026/07/08/an-indian-billionaire-was-targeted-by-trump-then-he-poured-money-into-a-startup-secretly-backed-by-donald-trump-jr/,http://www.techdirt.com/wp-content/themes/techdirt/assets/images/td-rect-logo-white.png,2026-07-08 22:30:23+00:00,"from the seems-pretty-corrupt dept
This story was originally published by ProPublica. Republished under a CC BY-NC-ND 3.0 license.
In late November in Jamnagar, India, the scions of two of the most… [+13959 chars]"
"{'id': None, 'name': 'Faz.net'}","Markus Frühauf, München",Hohes WachstumspotenTial: Allianz-Chef Bäte will Geschäft in Asien ausbauen,Nach dem Rückschlag in Singapur setzt der Versicherungskonzern nun auf den indischen Markt. Derweil machen dem Vorstandsvorsitzenden die Bewertungen an den Finanzmärkten Sorge.,https://www.faz.net/aktuell/wirtschaft/unternehmen/allianz-chef-oliver-baete-setzt-auf-asien-als-wachstumsmarkt-accg-201009407.html,https://media0.faz.net/image/w1200h627/d51278c9a1b6/w1441h752x479y297o/202607/43601.0.2313087186/vor-publikum-der.webp,2026-07-08 11:14:36+00:00,"Die Allianz versteht sich als in der Welt führender Versicherungskonzern. Doch es gibt eine Region, in der es noch deutlich Nachholbedarf gibt: Asien. Der Vorstandsvorsitzende Oliver Bäte ließ am Die… [+3544 chars]"
"{'id': None, 'name': 'Yahoo Entertainment'}",Alex Kimani,"Africa’s Richest Man Proposes To Build 700,000 Bpd Oil Refinery In Kenya","Dangote plans a $17 billion, 700,000 bpd refinery on Kenya’s Lamu Island, aiming to end East Africa’s reliance on imported fuels.",https://finance.yahoo.com/energy/articles/africa-richest-man-proposes-build-200000050.html,https://s.yimg.com/lo/mysterio/api/FCEED0B9914A71A8C38F550258D9D22E349FB3D0BEB9BBB031DE0326CB710C25/subgraphmysterio/resizefill_w1200_h675;quality_80;format_webp/https:%2F%2Fmedia.zenfs.com%2Fen%2Foilprice.com%2F345bd8b48fb8343dbb7542c30f7db5bc,2026-07-22 20:00:00+00:00,East Africa has spent decades exporting one commodity and importing another. The region holds roughly 4.7 billion barrels of crude oil reserves and more than 70 trillion cubic feet of natural gas acr… [+5499 chars]
"{'id': None, 'name': 'Economictimes.com'}",Agencies,"HDFC Bank, RIL, and Eternal among top 10 stock holdings of HDFC Mutual Fund in June","HDFC Mutual Fund, the third largest fund house based on assets managed, had an AUM of Rs 9.63 lakh crore as of June 2026. Here are the top 10 stock holdings, according to a report by Motilal Oswal Financial Services. HDFC Mutual Fund",https://m.economictimes.com/mf/analysis/hdfc-bank-ril-and-eternal-among-top-10-stock-holdings-of-hdfc-mutual-fund-in-june/hdfc-mutual-fund/slideshow/132477188.cms,"https://img.etimg.com/thumb/msid-132477188,width-1200,height-900,overlay-etwealthmutualfunds/slideshow.jpg",2026-07-18 08:49:18+00:00,"Jul 18, 2026, 02:50:17 PM IST
HDFC Mutual Fund, the third largest fund house based on assets managed, had an AUM of Rs 9.63 lakh crore as of June 2026. Here are the top 10 stock holdings, according … [+1255 chars]"
"{'id': 'rt', 'name': 'RT'}",RT,India and Indonesia working to lessen dollar reliance – envoy,"Yudho Sasongko has cited economic integration, supply chains, and maritime ties as pillars of the bilateral relationship with India Read Full Article at RT.com",https://www.rt.com/india/642622-india-indonesia-yudho-sasongko/,https://mf.b37mrtl.ru/files/2026.07/article/6a4b990f2030275a757a2ac4.jpg,2026-07-06 11:59:14+00:00,"Indonesia and India are boosting financial ties via a local currency settlement mechanism to lessen their reliance on the US dollar, a top diplomat has told RT India. 
Bank Indonesia and the Reserve… [+2942 chars]"
"{'id': None, 'name': 'SamMobile'}",Asif Iqbal Shaik,Samsung is investing $1.72 trillion to prepare infrastructure for the AI era,"Samsung Electronics, the world’s biggest semiconductor chip maker, has announced plans to invest a staggering KRW 2,665 trillion (~$1.72 trillion) in South Korea. This investment will be used to prepare its infrastructure for the artificial intelligence (AI) …",https://www.sammobile.com/news/samsung-investing-usd-1-72-trillion-prepare-infrastructure-ai-era/,https://www.sammobile.com/wp-content/uploads/2026/01/Samsung-Logo-CES-2026-1-1200x675.jpg,2026-06-29 12:44:32+00:00,"Samsung Electronics, the worlds biggest semiconductor chip maker, has announced plans to invest a staggering KRW 2,665 trillion (~$1.72 trillion) in South Korea. This investment will be used to prepa… [+2663 chars]"
